Hashtag,Text
earthquake,Did vou feel that earthquake? 
earthquake,"An estimated magnitude 4.2 earthquake was reported at 1:27 pm am on Tuesday afternoon, it’s epicenter 21 km from Kingston. "
earthquake,"Source: Sources: Android Earthquake Alerts System, ready.gov… See more"
flood,"Flooding in Catarman, Northern Samar 
 #Catarman #Samar #Flood Samar News"
flood,"#sponsored I'll confess that in the past, I've taken my gas-powered string trimmer into the garage to try to start it without my neighbors watching me struggle...Ha! Not anymore! Husqvarna has made my life much easier! Their battery operated Weed Eater (R) starts with the simple touch of a button. And it's lightweight and easy to use! It makes my outdoor projects even easier to maintain and enjoy. #HusqvarnaPartner #MaxBattery #outdoorliving #flood"
flood,"Be right thereee!!! 
 #funny #comedy #flood"
hurricane,"All my southern friends will relate to this
 #mississippi #southern #thunderstorm #hurricane #nofan #EasyWithAdobeExpress #fyp #fypシ #fy #fypage #fypシ゚viral"
hurricane,The Duracell Gasless Generator is gonna come in a clutch for Hurricane Season. #duracell #generator #florida #poweroutage #hurricaneseason #hurricane Duracell
hurricane,Salvaging the anchor rollers Off our destroyed bow sprit. 
typhoon,Saudi Arabia now! Heaven's punishment! Huge hail and snow in the desert
typhoon,#storm #flooding #flooding2023 #flooded #floods2023 #floods #hails #hailstorm #typhoon #NewsUpdate #news #virals #fyp #explore
typhoon,Weekend is here! 
tornado,Omg… just going thru my video. This is a story about a red truck and a tornado…. I CANNOT believe they drove away like that. #txwx #tornado
tornado,"Is your mom in the car? “Yea” 
 #griffintornado #reelsviral #griffinga #tornado"
tornado,"Sometimes your kids are just more important than anything else especially their happiness #tornado  #respect  #
  #funnyvideo #funnyshorts #wtfjusthappened #wth #OMG #gonebutnevereverforgotten #gonewiththewind"
tsunami,Upgrade part 2 #garuda #tsunami #tsunamisnm100 #upgrade #customizedbuild
tsunami,"1k new followers,I will upload full movie"
tsunami,#Tsunami
accident,Hey guys keep safety firts
accident,#reelsfbviral #reelsfypシ #reelsvideo #reelfb #accident #truckerlife #driverslicense #trucking #truck #virals
accident,Driving in real life is not a game.  #SendStars #facebookreel #followformore #تابعوني #foryou #notmyvideo #BMW #accident
disaster,"OMG 
   #fypシ゚ #lifestyle #reels #disaster #messi #viral #funny #AmaZing #cr7 #happylife #fypシ゚viral #challenge #storms #OMG"
disaster,"28,000 rubber ducks were released in the ocean. 
 This is what happened! #rubberducky #rubberducks #ocean #disaster #oceanfacts #insane"
disaster,"The hot oil did not in fact fix my 
. I removed it and glued on another one 
. #nails #manicure #beauty #disaster #burn #cooking #mistake #reaction #worklife #travel #recipe #storytime #accident"
